"","election","province","district","candidate","media_mentions","current_vote","previous_vote","winner","liberal","conservative","ndp","bq","other","gender","year_served","place","p2p","government"
"174",2006,"BC","Kootenay--Columbia","Jim Abbott ** Conservative/Conservateur",502,54.3600006103516,39.6300010681152,1,0,1,0,0,0,"Male",13,34,1,0
"175",2006,"AL","Calgary Centre-North/Calgary-Centre-Nord","Jim Prentice ** Conservative/Conservateur",414,56,54.189998626709,1,0,1,0,0,0,"Male",2,203,0,0
"176",2008,"ON","Windsor--Tecumseh","Joe  Comartin",876,48.7999992370605,44.6300010681152,1,0,0,1,0,0,"Male",8,247,0,0
"177",2008,"ON","Elgin--Middlesex--London","Joe  Preston",47,48.4000015258789,45.6199989318848,1,0,1,0,0,0,"Male",4,172,0,1
"178",2006,"ON","Windsor--Tecumseh","Joe Comartin ** N.D.P./N.P.D.",529,44.6300010681152,41.8499984741211,1,0,0,1,0,0,"Male",6,119,0,0
"179",2006,"ON","Elgin--Middlesex--London","Joe Preston ** Conservative/Conservateur",38,45.6199989318848,43.8400001525879,1,0,1,0,0,0,"Male",2,60,1,0
"180",2008,"QC","Laurentides--Labelle","Johanne  Deschamps",2,47,53.8199996948242,1,0,0,0,1,0,"Female",4,24,1,0
"181",2006,"QC","Laurentides--Labelle","Johanne Deschamps ** Bloc Qu»b»cois/Bloc Qu»b»cois",0,53.8199996948242,58.3800010681152,1,0,0,0,1,0,"Female",2,212,0,0
"182",2008,"ON","Scarborough Centre","John  Cannis",25,48.7000007629395,55.3800010681152,1,1,0,0,0,0,"Male",15,57,1,0
"183",2008,"BC","Delta--Richmond East","John  Cummins",855,55.9000015258789,48.439998626709,1,0,1,0,0,0,"Male",15,91,1,1
"184",2008,"ON","Welland","John  Maloney",31,28,35.5299987792969,0,1,0,0,0,0,"Male",15,131,0,0
"185",2008,"ON","Markham--Unionville","John  McCallum",1241,54.9000015258789,61.8899993896484,1,1,0,0,0,0,"Male",8,194,0,0
"186",2008,"ON","Scarborough--Guildwood","John  McKay",1767,50.2999992370605,53.2599983215332,1,1,0,0,0,0,"Male",11,13,1,0
"187",2006,"ON","Scarborough Centre/Scarborough-Centre","John Cannis ** Liberal/Lib»ral",17,55.3800010681152,56.6500015258789,1,1,0,0,0,0,"Male",13,126,0,1
"188",2006,"BC","Delta--Richmond East/Delta--Richmond-Est","John Cummins ** Conservative/Conservateur",483,48.439998626709,45.5999984741211,1,0,1,0,0,0,"Male",13,228,0,0
"189",2006,"BC","Vancouver Island North","John Duncan ** Conservative/Conservateur",449,40.6399993896484,35.4099998474121,0,0,1,0,0,0,"Male",13,6,1,0
"190",2006,"ON","Welland","John Maloney ** Liberal/Lib»ral",48,35.5299987792969,39.6300010681152,1,1,0,0,0,0,"Male",13,210,0,1
"191",2006,"AL","Edmonton--St. Albert","John Williams ** Conservative/Conservateur",702,59.689998626709,57.6500015258789,1,0,1,0,0,0,"Male",13,131,0,0
"192",2008,"ON","Eglinton--Lawrence","Joseph  Volpe",16,44,52.8899993896484,1,1,0,0,0,0,"Male",20,153,0,0
"193",2008,"MB","Kildonan--St. Paul","Joy  Smith",159,53.4000015258789,43.1300010681152,1,0,1,0,0,0,"Female",4,36,1,1
"194",2006,"MB","Kildonan--St. Paul","Joy Smith ** Conservative/Conservateur",36,43.1300010681152,37.2999992370605,1,0,1,0,0,0,"Female",2,80,1,0
"195",2008,"ON","York West","Judy  Sgro",265,59.4000015258789,63.7799987792969,1,1,0,0,0,0,"Female",9,71,1,0
"196",2008,"MB","Winnipeg North","Judy  Wasylycia-Leis",492,62.5999984741211,57.1800003051758,1,0,0,1,0,0,"Female",11,144,0,0
"197",2006,"MB","Winnipeg North/Winnipeg-Nord","Judy Wasylycia-Leis ** N.D.P./N.P.D.",439,57.1800003051758,48.1599998474121,1,0,0,1,0,0,"Female",9,159,0,0
"198",2008,"ON","Kitchener Centre","Karen  Redman",154,35.9000015258789,43.2599983215332,0,1,0,0,0,0,"Female",11,43,1,0
"199",2006,"ON","Kitchener Centre/Kitchener-Centre","Karen Redman ** Liberal/Lib»ral",171,43.2599983215332,47.1300010681152,1,1,0,0,0,0,"Female",9,231,0,1
"200",2008,"BC","Esquimalt--Juan de Fuca","Keith  Martin",1085,34.0999984741211,34.9300003051758,1,1,0,0,0,0,"Male",15,223,0,0
"201",2008,"ON","Thunder Bay--Rainy River","Ken  Boshcoff",48,32.2999992370605,35.1300010681152,0,1,0,0,0,0,"Male",4,84,1,0
"202",2008,"ON","York Centre","Ken  Dryden",2479,43.5,52.6599998474121,1,1,0,0,0,0,"Male",4,81,1,0
"203",2006,"ON","Thunder Bay--Rainy River","Ken Boshcoff ** Liberal/Lib»ral",0,35.1300010681152,39.3699989318848,1,1,0,0,0,0,"Male",2,167,0,1
"204",2006,"AL","Edmonton--Sherwood Park","Ken Epp ** Conservative/Conservateur",89,63.9700012207031,57.8699989318848,1,0,1,0,0,0,"Male",13,218,0,0
"205",2008,"AL","Crowfoot","Kevin  Sorenson",47,82,82.5599975585938,1,0,1,0,0,0,"Male",8,105,1,1
"206",2006,"AL","Crowfoot","Kevin A. Sorenson ** Conservative/Conservateur",42,82.5599975585938,80.2099990844727,1,0,1,0,0,0,"Male",6,136,0,0
"207",2008,"Yukon","Yukon","Larry  Bagnell",274,45.7999992370605,48.5200004577637,1,1,0,0,0,0,"Male",8,116,1,0
